,Category,Name,Phone,Additional Phones,Google Maps URL,Website,Emails,Instagram,Facebook,YouTube,LinkedIn,Twitter,Business Status,Address,Total Reviews,Booking Links,Rating,Hours,Tech Domin
0,Software company,Top Software Development Company in USA | AI/ML | Data Analytics | UI/UX |,0731 297 3109,"'1742980476', '1744215188', '1744195068', '1744215138', '2148928806', '1744195066', '1744195067', '1743761581'","https://www.google.com/maps/place/Top+Software+Development+Company+in+USA+%7C+AI%2FML+%7C+Data+Analytics+%7C+UI%2FUX+%7C/@22.6858591,75.8723211,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd16be970387:0xc737f343f0e4f9a7!8m2!3d22.6858591!4d75.8723211!16s%2Fg%2F1q64f41dt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",https://47billion.com/,'hello@47billion.com','https://www.instagram.com/47billion/','https://www.facebook.com/47Billion/','https://www.youtube.com/channel/UC7l2UTez5yO-ld2BXgoOTjQ','https://www.linkedin.com/company/47billion/',,Closed⋅ Opens 10 am Mon,"Crystal IT Park STP-1, 4th Floor Right Wing Ring Road, Madhya Pradesh 452001",112.0,nan,4.8,Friday10 am–7 pmSaturdayClosedSundayClosedMonday10 am–7 pmTuesday10 am–7 pmWednesday10 am–7 pmThursday10 am–7 pmSuggest new hours,AI/ML
1,Software company,Tech Driven Basic (CAMSEC.AI),070002 58253,"'167621286493', '1676212864936', '9170002582', '1740469101', '1676212864', '917000258253', '1740469100'","https://www.google.com/maps/place/Tech+Driven+Basic+(CAMSEC.AI)/@22.7426403,75.8948864,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fde29067a05b:0x8becd85ff0793cad!8m2!3d22.7426403!4d75.8948864!16s%2Fg%2F11h_5mdgpr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",https://www.tdbpl.com/,"'deepanshu@tdbpl.com', 'info@tdbpl.com'","'https://www.instagram.com/tdb.ai/', 'https://www.instagram.com/tdb.ai/profilecard/?igsh=MXdsaGR1dHhhbm91eQ=='",,,"'https://www.linkedin.com/in/prachi-bhinda-59091115b/', 'https://www.linkedin.com/in/deepanshu-bhinda-6b6b7830b/', 'https://www.linkedin.com/in/alicekarotia05/', 'https://www.linkedin.com/company/tdb-technologies'",,Closes soon⋅ 8 pm ⋅ Opens 9 am Sat,"49A, MR 9 Rd, near Barfani Dham, Sector A, Chandra Nagar, Indore, Madhya Pradesh 452010",31.0,https://calendly.com/ceotdb/30min,4.7,Friday10:30 am–8 pmSaturday9 am–5 pmSundayClosedMonday10:30 am–8 pmTuesday10:30 am–8 pmWednesday10:30 am–8 pmThursday10:30 am–8 pmSuggest new hours,AI/ML
2,Software company,Mindcrew Technologies- AI/ML Solution | ChatGPT Solution | Staff Augmentation Services | Digital Marketing,062325 80233,"'9650266977', '1735260656', '9162325802', '919650266977', '1735260657', '9196502669', '+919650266977', '+916232580233'",https://www.google.com/maps/place/Mindcrew+Technologies-+AI%2FML+Solution+%7C+ChatGPT+Solution+%7C+Staff+Augmentation+Services+%7C+Digital+Marketing/data=!4m7!3m6!1s0x396302a889507f3b:0x14a9dc5c213c7d7c!8m2!3d22.7533052!4d75.8650474!16s%2Fg%2F11b6gnsxg0!19sChIJO39QiagCYzkRfH08IVzcqRQ?authuser=0&hl=en&rclk=1,https://mindcrewtech.com/,'mehul.nahar@mindcrewtech.com','https://www.instagram.com/mindcrewtech/','https://www.facebook.com/Mindcrew.Technologies/',,"'https://www.linkedin.com/in/mehul-nahar/', 'https://www.linkedin.com/in/madhuri-thakur-24044b190', 'https://www.linkedin.com/company/mindcrew-technologies/'",'https://twitter.com/MindCrewTechno',Closes soon⋅ 7:30 pm ⋅ Opens 10:30 am Mon,"142-A, New IT Park building first floor, Electronic Complex, Pardesipura, Indore, Madhya Pradesh 452010",83.0,nan,4.1,Friday10:30 am–7:30 pmSaturdayClosedSundayClosedMonday10:30 am–7:30 pmTuesday10:30 am–7:30 pmWednesday10:30 am–7:30 pmThursday10:30 am–7:30 pmSuggest new hours,AI/ML
3,Software company,Technorizen Software Solution | Software Development Company | Mobile Apps l AI/ML Solution l Blockchain l Digital Marketing,078284 07092,"'9180850040', '9199815120', '+917828407092', '9178284070', '+919981512024', '+918085004047', '918085004047'",https://www.google.com/maps/place/Technorizen+Software+Solution+%7C+Software+Development+Company+%7C+Mobile+Apps+l+AI%2FML+Solution+l+Blockchain+l+Digital+Marketing/data=!4m7!3m6!1s0x3962fcf129c55555:0xf972ad5c5b881813!8m2!3d22.702807!4d75.871596!16s%2Fg%2F11b6vft512!19sChIJVVXFKfH8YjkRExiIW1ytcvk?authuser=0&hl=en&rclk=1,https://technorizen.com/,"'hrsukrati@technorizen.com', 'info@technorizen.com', 'hr.technorizen@gmail.com'",'https://www.instagram.com/technorizen_software_solutions/','https://www.facebook.com/technorizen/',,'https://www.linkedin.com/company/technorizen-software-solutions-pvt-ltd/','https://twitter.com/InfoTechnorizen',Closes soon⋅ 7:30 pm ⋅ Opens 10 am Mon,"Sapphire House, 402 A, B, C, Sapna Sangeeta Rd, Indore, Madhya Pradesh 452002",327.0,http://www.technorizen.com/,4.7,Friday10 am–7:30 pmSaturdayClosedSundayClosedMonday10 am–7:30 pmTuesday10 am–7:30 pmWednesday10 am–7:30 pmThursday10 am–7:30 pmSuggest new hours,AI/ML
4,Software company,Advantal Technologies Ltd | Custom Software Development Company | Staff Augmentation | AI | Blockchain | Flutter,0731 403 7720,"'+919131295441', '240081188546', '411098908784', '1198084965', '10625066078', '5873872873956', '119808496512', '919926054677', '0795369131', '4874416606105', '17431614487', '498829523193', '448168993482', '256721468050', '5170908883933', '6772214470', '4110989087', '677221447055', '192170772524', '4988295231', '12195471225', '450262507580', '0625066078', '2663028101734', '8403711951948', '6976950504422', '2644536267', '7944626789403', '5331622752', '1530246058846', '11128895992', '3633639919', '1128895992', '15597090721', '193420821675', '8403711951', '6444248814161', '487441660610', '5177228152', '1742887837435', '1198084965129', '5213546718', '2195471225', '4498986561', '14498986561', '587387287395', '14110989087', '8186475061885', '7514842638', '1530246058', '6772214470556', '4874416606', '1934208216753', '9192851998', '11059413231', '4481689934821', '6202115542810', '11921707725', '3137646110', '14502625075', '255356952004', '9910097871', '1921707725', '9191312954', '174288783743', '818647506188', '517722815225', '4502625075', '4988295231936', '5177228152255', '079536913174', '919285199848', '1742887837', '840371195194', '8775897077', '8736530310', '794462678940', '9199260546', '5213546718046', '264453626735', '7944626789', '873653031047', '5331622752347', '919131295441', '12553569520', '7431614487', '5170908883', '266302810173', '2567214680', '105941323125', '+919926054677', '517090888393', '533162275234', '2663028101', '313764611014', '743161448778', '12567214680', '5873872873', '5597090721', '559709072113', '8186475061', '571615085666', '1059413231', '112889599231', '1934208216', '92400811885', '816604691507', '8166046915076', '153024605884', '751484263818', '17514842638', '6976950504', '5716150856', '2400811885', '2553569520', '10795369131', '8775897077937', '521354671804', '4481689934', '13137646110', '5716150856663', '8166046915', '8736530310474', '6444248814', '6202115542', '644424881416', '062506607856', '+919910097871', '877589707793', '620211554281', '2644536267352', '697695050442'",https://www.google.com/maps/place/Advantal+Technologies+Ltd+%7C+Custom+Software+Development+Company+%7C+Staff+Augmentation+%7C+AI+%7C+Blockchain+%7C+Flutter/data=!4m7!3m6!1s0x3962fd558df1e307:0xc681e51830ad104c!8m2!3d22.752353!4d75.865108!16s%2Fg%2F11crzybyzk!19sChIJB-PxjVX9YjkRTBCtMBjlgcY?authuser=0&hl=en&rclk=1,https://advantaltechnologies.com/,"'marketing@advantal.net', 'Blue-@2x-480x113.png', 'Blue-@2x-1280x302.png', 'Blue-@2x-980x231.png', 'Blue-@2x.png'",'https://www.instagram.com/advantal_technologies/',"'https://www.facebook.com/tr', 'https://www.facebook.com/Advantal/'",'https://www.youtube.com/embed/','https://www.linkedin.com/company/advantal-technologies/','https://twitter.com/Advantal',Closed⋅ Opens 10 am Mon,"209, 1st Floor, Right Wing, MPSEDC STP Building, Electronic Complex, Pardesipura, Indore, Madhya Pradesh 452010",66.0,https://advantaltechnologies.com/contact-us/,4.0,Friday10 am–7 pmSaturdayClosedSundayClosedMonday10 am–7 pmTuesday10 am–7 pmWednesday10 am–7 pmThursday10 am–7 pmSuggest new hours,AI/ML
5,Software company,Dwellfox Private Limited – IT Consulting | AI & ML | Staff Augmentation | ServiceNow | Workday | Salesforce | AWS,093030 83558,"'07314933322', '447638869473', '7314933322', '1310225428', '04476388694', '4109123758', '1268368563', '+918463803066', '2264125279', '9898484999', '8463803066', '4476388694', '+917314933322', '+19898484999', '3020080000'",https://www.google.com/maps/place/Dwellfox+Private+Limited+%E2%80%93+IT+Consulting+%7C+AI+%26+ML+%7C+Staff+Augmentation+%7C+ServiceNow+%7C+Workday+%7C+Salesforce+%7C+AWS/data=!4m7!3m6!1s0x3962fdc9312d8d1f:0x97a28e1e6f9e4b6a!8m2!3d22.7498023!4d75.8966099!16s%2Fg%2F11qqpj61lh!19sChIJH40tMcn9YjkRakuebx6Oopc?authuser=0&hl=en&rclk=1,https://www.dwellfox.com/,"'hrindia@dwellfox.com', 'bdm@dwellfox.com', 'info@dwellfox.com', 'Info@dwellfox.com'",'https://www.instagram.com/dwellfox/',"'https://www.facebook.com/Dwellfox', 'https://www.facebook.com/Dwellfox/'",,"'https://www.linkedin.com/company/dwellfox/', 'https://www.linkedin.com/company/dwellfox/mycompany/'",'https://twitter.com/dwellfox',Open⋅ Closes 4 am,"405, Apollo Premier, Vijay Nagar Square, Indore, Madhya Pradesh 452010",101.0,https://www.dwellfox.com/in-en/contact,4.8,Friday9 am–4 amSaturdayClosedSundayClosedMonday9 am–4 amTuesday9 am–4 amWednesday9 am–4 amThursday9 am–4 amSuggest new hours,AI/ML
6,Software company,Creativethoughts.ai,nan,,https://www.creativethoughts.ai/#/,https://www.creativethoughts.ai/,,,,,,,Open⋅ Closes 8:30 pm,"Shekhar central, 519, New Palasia, Indore, Madhya Pradesh 452001",4.0,nan,4.5,Friday10:30 am–8:30 pmSaturdayClosedSundayClosedMonday10:30 am–8:30 pmTuesday10:30 am–8:30 pmWednesday10:30 am–8:30 pmThursday10:30 am–8:30 pmSuggest new hours,AI/ML
7,Software company,"Techrefic Technologies Pvt. Ltd. Indore, India",0731 468 1048,,https://techrefic.com/,https://techrefic.com/,,'https://www.instagram.com/techrefic/','https://www.facebook.com/techrefic/',,"'https://www.linkedin.com/company/techrefic-technologies/', 'https://www.linkedin.com/company/techrefic-technologies/mycompany/'",,nan,"Virtual Coworks, 4th Floor, Mangal city, Vijay Nagar Square, Scheme 54 PU4, Indore, Madhya Pradesh 452001",26.0,nan,4.6,nan,Other
8,Software company,Shanti Infosoft LLP - AI / Web and App Design And Development Company,099812 25000,"'+919981225000', '+918827631146', '8827631146', '9196858297', '918827631146', '9981225000', '+919685829748', '1007556360', '919685829748', '9188276311', '9685829748'",https://www.google.com/maps/place/Shanti+Infosoft+LLP+-+AI+%2F+Web+and+App+Design+And+Development+Company/data=!4m7!3m6!1s0x3962fd319c598969:0xa4e99d10e653ecb8!8m2!3d22.7437514!4d75.8965216!16s%2Fg%2F1jkwl2529!19sChIJaYlZnDH9YjkRuOxT5hCd6aQ?authuser=0&hl=en&rclk=1,https://shantiinfosoft.com/,"'hr@shantiinfosoft.com', 'info@shantiinfosoft.com'",'https://www.instagram.com/shantiinfosoftllp/','https://www.facebook.com/shantiinfosoft',,,,Closed⋅ Opens 10 am Mon,"1st - 3rd floor, PU 4, Vijay Nagar Square, Behind C21 Mall, Scheme 54 PU4, Indore, Madhya Pradesh 452011",66.0,nan,4.8,Friday10 am–7 pmSaturdayClosedSundayClosedMonday10 am–7 pmTuesday10 am–7 pmWednesday10 am–7 pmThursday10 am–7 pmSuggest new hours,AI/ML
9,Software company,Artivatic.ai - Center of AI Innovation,nan,"'8431969670', '+918431969670'",https://artivatic.ai/,http://artivatic.ai/,,'https://www.instagram.com/artivatic.ai/','https://www.facebook.com/artivatic','https://www.youtube.com/channel/UCErCyc2yw9zKPuLm3WrANZQ','https://www.linkedin.com/company/artivatic','https://twitter.com/artivatic',Closed⋅ Opens 9 am Mon,"Unit Number 104, First Floor, Red Square, 6/4 & 19, Opposite C-21 Mall, Scheme No 54, Indore, Madhya Pradesh 452011",1.0,nan,4.0,Friday9 am–6 pmSaturdayClosedSundayClosedMonday9 am–6 pmTuesday9 am–6 pmWednesday9 am–6 pmThursday9 am–6 pmSuggest new hours,AI/ML
